AHRI Ref. #,Outdoor Unit Brand Name,Outdoor Unit Series Name,Outdoor Unit Model Number,Indoor Unit Brand Name,Mini/Multi-Split Indoor Unit Type,Indoor Unit Model Number,Furnace Model Number,"Cooling Capacity (95F), btuh (Appendix M1) *",EER2 (95F) (Appendix M1) *,SEER2 (Appendix M1) *,"Cooling Capacity (95F), btuh (Appendix M) *",EER (95F) (Appendix M) *,IEER (95F) (Appendix M) *,SEER (Appendix M) *,"Full-Load Cooling Air Volume Rate, scfm (Appendix M1)","Full-Load Cooling Air Volume Rate, scfm (Appendix M)","Intermediate Cooling Air Volume Rate, scfm (Appendix M)","Minimum Cooling Air Volume Rate, scfm (Appendix M)",Model Status,Manufacturer Type,AHRI Type,Split or Packaged?,Phase,Designated Tested Combination?,Region,Refrigerant Type,Sold In?,CEE Tier,Energy Guide Label,ENERGY STAR ® Certified?,Potential Eligibility for IRA Tax Credit,Is Rerated
215273409,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960603ANA*,22800,11.2,13.6,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273412,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960403ANA*,23000,11.2,13.8,,,,,820,820,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273413,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960403ANA*,23000,11.2,13.8,,,,,820,820,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273416,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T960303ANA*,23000,11.2,13.8,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273417,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T960303ANA*,23000,11.2,13.8,,,,,810,810,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215273420,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T800804C*A*,23400,11.2,14.5,,,,,840,840,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273421,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T800804C*A*,23400,11.2,14.5,,,,,840,840,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273424,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T800804B*A*,23400,11.2,14,,,,,780,780,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273425,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T800804B*A*,23400,11.2,14,,,,,780,780,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273428,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T800803B*A*,23400,11.2,14,,,,,720,720,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273429,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T800803B*A*,23400,11.2,14,,,,,720,720,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273432,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T800603B*A*,23400,11.2,14,,,,,850,850,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273433,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AR9T800603B*A*,23400,11.2,14,,,,,850,850,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215273436,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AR9T800403A*A*,23000,11.2,14,,,,,860,860,,,Active,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
